tag	i	q	k	actual
gamma	799	0.999280	2.878	2
gamma	800	0.999300	2.798	2
gamma	801	0.999315	2.738	1
gamma	802	0.999330	2.678	2
gamma	803	0.999350	2.598	2
gamma	804	0.999365	2.538	1
gamma	805	0.999375	2.498	1
gamma	806	0.999390	2.439	2
gamma	807	0.999405	2.379	1
gamma	808	0.999415	2.339	1
gamma	809	0.999430	2.279	2
gamma	810	0.999445	2.219	1
gamma	811	0.999460	2.159	2
gamma	812	0.999475	2.099	1
gamma	813	0.999485	2.059	1
gamma	814	0.999495	2.019	1
gamma	815	0.999505	1.979	1
gamma	816	0.999515	1.939	1
gamma	817	0.999525	1.899	1
gamma	818	0.999535	1.859	1
gamma	819	0.999545	1.819	1
gamma	820	0.999555	1.779	1
gamma	821	0.999565	1.739	1
gamma	822	0.999575	1.699	1
gamma	823	0.999585	1.659	1
gamma	824	0.999595	1.619	1
gamma	825	0.999605	1.579	1
gamma	826	0.999615	1.539	1
gamma	827	0.999625	1.499	1
gamma	828	0.999635	1.459	1
gamma	829	0.999645	1.419	1
gamma	830	0.999655	1.380	1
gamma	831	0.999665	1.340	1
gamma	832	0.999675	1.300	1
gamma	833	0.999685	1.260	1
gamma	834	0.999695	1.220	1
gamma	835	0.999705	1.180	1
gamma	836	0.999715	1.140	1
gamma	837	0.999725	1.100	1
gamma	838	0.999735	1.060	1
gamma	839	0.999745	1.020	1
gamma	840	0.999755	0.980	1
gamma	841	0.999765	0.940	1
gamma	842	0.999775	0.900	1
gamma	843	0.999785	0.860	1
gamma	844	0.999795	0.820	1
gamma	845	0.999805	0.780	1
gamma	846	0.999815	0.740	1
gamma	847	0.999825	0.700	1
gamma	848	0.999835	0.660	1
gamma	849	0.999845	0.620	1
gamma	850	0.999855	0.580	1
gamma	851	0.999865	0.540	1
gamma	852	0.999875	0.500	1
gamma	853	0.999885	0.460	1
gamma	854	0.999895	0.420	1
gamma	855	0.999905	0.380	1
gamma	856	0.999915	0.340	1
gamma	857	0.999925	0.300	1
gamma	858	0.999935	0.260	1
gamma	859	0.999945	0.220	1
gamma	860	0.999955	0.180	1
gamma	861	0.999965	0.140	1
gamma	862	0.999975	0.100	1
gamma	863	0.999985	0.060	1
gamma	864	0.999995	0.020	1
gamma	0	0.000005	0.020	1
gamma	1	0.000015	0.060	1
gamma	2	0.000025	0.100	1
gamma	3	0.000035	0.140	1
gamma	4	0.000045	0.180	1
gamma	5	0.000055	0.220	1
gamma	6	0.000065	0.260	1
gamma	7	0.000075	0.300	1
gamma	8	0.000085	0.340	1
gamma	9	0.000095	0.380	1
gamma	10	0.000105	0.420	1
gamma	11	0.000115	0.460	1
gamma	12	0.000125	0.500	1
gamma	13	0.000135	0.540	1
gamma	14	0.000145	0.580	1
gamma	15	0.000155	0.620	1
gamma	16	0.000165	0.660	1
gamma	17	0.000175	0.700	1
gamma	18	0.000185	0.740	1
gamma	19	0.000195	0.780	1
gamma	20	0.000205	0.820	1
gamma	21	0.000215	0.860	1
gamma	22	0.000225	0.900	1
gamma	23	0.000235	0.940	1
gamma	24	0.000245	0.980	1
gamma	25	0.000255	1.020	1
gamma	26	0.000265	1.060	1
gamma	27	0.000275	1.100	1
gamma	28	0.000285	1.140	1
gamma	29	0.000295	1.180	1
gamma	30	0.000305	1.220	1
gamma	31	0.000315	1.260	1
gamma	32	0.000325	1.300	1
gamma	33	0.000335	1.340	1
gamma	34	0.000345	1.380	1
gamma	35	0.000355	1.419	1
gamma	36	0.000365	1.459	1
gamma	37	0.000375	1.499	1
gamma	38	0.000385	1.539	1
gamma	39	0.000395	1.579	1
gamma	40	0.000405	1.619	1
gamma	41	0.000415	1.659	1
gamma	42	0.000425	1.699	1
gamma	43	0.000435	1.739	1
gamma	44	0.000445	1.779	1
gamma	45	0.000455	1.819	1
gamma	46	0.000465	1.859	1
gamma	47	0.000475	1.899	1
gamma	48	0.000485	1.939	1
gamma	49	0.000495	1.979	1
gamma	50	0.000505	2.019	1
gamma	51	0.000515	2.059	1
gamma	52	0.000525	2.099	1
gamma	53	0.000535	2.139	1
gamma	54	0.000545	2.179	1
gamma	55	0.000555	2.219	1
gamma	56	0.000565	2.259	1
gamma	57	0.000575	2.299	1
gamma	58	0.000585	2.339	1
gamma	59	0.000595	2.379	1
gamma	60	0.000605	2.419	1
gamma	61	0.000620	2.478	2
gamma	62	0.000635	2.538	1
gamma	63	0.000650	2.598	2
gamma	64	0.000665	2.658	1
gamma	65	0.000675	2.698	1
gamma	66	0.000685	2.738	1
gamma	67	0.000700	2.798	2
gamma	68	0.000720	2.878	2
gamma	69	0.000740	2.958	2
gamma	70	0.000760	3.038	2
gamma	71	0.000775	3.098	1
gamma	72	0.000785	3.138	1
gamma	73	0.000800	3.197	2
gamma	74	0.000820	3.277	2
gamma	75	0.000840	3.357	2
gamma	76	0.000860	3.437	2
gamma	77	0.000880	3.517	2
gamma	78	0.000900	3.597	2
gamma	79	0.000915	3.657	1
gamma	80	0.000935	3.737	3
gamma	81	0.000960	3.836	2
gamma	82	0.000985	3.936	3
gamma	83	0.001015	4.056	3
gamma	84	0.001035	4.136	1
gamma	85	0.001050	4.196	2
gamma	86	0.001065	4.255	1
gamma	87	0.001080	4.315	2
gamma	88	0.001100	4.395	2
gamma	89	0.001130	4.515	4
gamma	90	0.001160	4.635	2
gamma	91	0.001185	4.734	3
gamma	92	0.001215	4.854	3
gamma	93	0.001240	4.954	2
gamma	94	0.001255	5.014	1
gamma	95	0.001280	5.113	4
gamma	96	0.001305	5.213	1
gamma	97	0.001325	5.293	3
gamma	98	0.001350	5.393	2
gamma	99	0.001375	5.492	3
gamma	100	0.001395	5.572	1
gamma	101	0.001420	5.672	4
gamma	102	0.001450	5.792	2
gamma	103	0.001475	5.891	3
gamma	104	0.001505	6.011	3
gamma	105	0.001535	6.131	3
gamma	106	0.001570	6.270	4
gamma	107	0.001595	6.370	1
gamma	108	0.001620	6.470	4
gamma	109	0.001665	6.649	5
gamma	110	0.001715	6.848	5
gamma	111	0.001760	7.028	4
gamma	112	0.001810	7.227	6
gamma	113	0.001850	7.386	2
gamma	114	0.001890	7.546	6
gamma	115	0.001940	7.745	4
gamma	116	0.001975	7.884	3
gamma	117	0.002010	8.024	4
gamma	118	0.002050	8.183	4
gamma	119	0.002085	8.323	3
gamma	120	0.002110	8.422	2
gamma	121	0.002130	8.502	2
gamma	122	0.002165	8.641	5
gamma	123	0.002215	8.840	5
gamma	124	0.002260	9.020	4
gamma	125	0.002300	9.179	4
gamma	126	0.002340	9.338	4
gamma	127	0.002375	9.477	3
gamma	128	0.002420	9.657	6
gamma	129	0.002475	9.875	5
gamma	130	0.002520	10.055	4
gamma	131	0.002585	10.313	9
gamma	132	0.002665	10.632	7
gamma	133	0.002725	10.870	5
gamma	134	0.002785	11.109	7
gamma	135	0.002835	11.308	3
gamma	136	0.002875	11.467	5
gamma	137	0.002925	11.666	5
gamma	138	0.002980	11.884	6
gamma	139	0.003045	12.143	7
gamma	140	0.003130	12.481	10
gamma	141	0.003210	12.799	6
gamma	142	0.003270	13.037	6
gamma	143	0.003335	13.296	7
gamma	144	0.003400	13.554	6
gamma	145	0.003450	13.752	4
gamma	146	0.003525	14.050	11
gamma	147	0.003620	14.428	8
gamma	148	0.003710	14.785	10
gamma	149	0.003790	15.103	6
gamma	150	0.003860	15.380	8
gamma	151	0.003920	15.619	4
gamma	152	0.003970	15.817	6
gamma	153	0.004030	16.055	6
gamma	154	0.004125	16.432	13
gamma	155	0.004220	16.809	6
gamma	156	0.004300	17.126	10
gamma	157	0.004395	17.503	9
gamma	158	0.004475	17.820	7
gamma	159	0.004570	18.196	12
gamma	160	0.004675	18.613	9
gamma	161	0.004765	18.969	9
gamma	162	0.004840	19.266	6
gamma	163	0.004885	19.445	3
gamma	164	0.004955	19.722	11
gamma	165	0.005075	20.197	13
gamma	166	0.005215	20.751	15
gamma	167	0.005370	21.365	16
gamma	168	0.005500	21.879	10
gamma	169	0.005585	22.215	7
gamma	170	0.005670	22.551	10
gamma	171	0.005760	22.907	8
gamma	172	0.005850	23.263	10
gamma	173	0.005945	23.639	9
gamma	174	0.006040	24.014	10
gamma	175	0.006135	24.389	9
gamma	176	0.006225	24.745	9
gamma	177	0.006295	25.021	5
gamma	178	0.006350	25.239	6
gamma	179	0.006435	25.574	11
gamma	180	0.006535	25.969	9
gamma	181	0.006655	26.443	15
gamma	182	0.006800	27.015	14
gamma	183	0.006895	27.390	5
gamma	184	0.006975	27.705	11
gamma	185	0.007075	28.100	9
gamma	186	0.007175	28.494	11
gamma	187	0.007300	28.987	14
gamma	188	0.007425	29.479	11
gamma	189	0.007580	30.090	20
gamma	190	0.007760	30.799	16
gamma	191	0.007930	31.468	18
gamma	192	0.008175	32.433	31
gamma	193	0.008435	33.455	21
gamma	194	0.008675	34.399	27
gamma	195	0.008910	35.322	20
gamma	196	0.009080	35.990	14
gamma	197	0.009240	36.618	18
gamma	198	0.009405	37.266	15
gamma	199	0.009630	38.149	30
gamma	200	0.009910	39.247	26
gamma	201	0.010125	40.090	17
gamma	202	0.010285	40.717	15
gamma	203	0.010410	41.207	10
gamma	204	0.010530	41.676	14
gamma	205	0.010690	42.303	18
gamma	206	0.010940	43.281	32
gamma	207	0.011265	44.552	33
gamma	208	0.011625	45.959	39
gamma	209	0.011945	47.209	25
gamma	210	0.012185	48.146	23
gamma	211	0.012470	49.258	34
gamma	212	0.012755	50.369	23
gamma	213	0.013065	51.577	39
gamma	214	0.013420	52.960	32
gamma	215	0.013735	54.185	31
gamma	216	0.013985	55.158	19
gamma	217	0.014235	56.129	31
gamma	218	0.014555	57.373	33
gamma	219	0.014855	58.537	27
gamma	220	0.015210	59.915	44
gamma	221	0.015540	61.194	22
gamma	222	0.015805	62.221	31
gamma	223	0.016060	63.208	20
gamma	224	0.016255	63.963	19
gamma	225	0.016495	64.892	29
gamma	226	0.016795	66.052	31
gamma	227	0.017065	67.095	23
gamma	228	0.017340	68.157	32
gamma	229	0.017700	69.547	40
gamma	230	0.018000	70.704	20
gamma	231	0.018235	71.610	27
gamma	232	0.018630	73.132	52
gamma	233	0.019040	74.710	30
gamma	234	0.019305	75.729	23
gamma	235	0.019605	76.883	37
gamma	236	0.020125	78.880	67
gamma	237	0.020695	81.067	47
gamma	238	0.021120	82.696	38
gamma	239	0.021460	83.998	30
gamma	240	0.021750	85.108	28
gamma	241	0.022040	86.217	30
gamma	242	0.022335	87.345	29
gamma	243	0.022785	89.063	61
gamma	244	0.023295	91.009	41
gamma	245	0.023680	92.477	36
gamma	246	0.024115	94.134	51
gamma	247	0.024680	96.284	62
gamma	248	0.025230	98.374	48
gamma	249	0.025765	100.405	59
gamma	250	0.026275	102.338	43
gamma	251	0.026980	105.008	98
gamma	252	0.027670	107.617	40
gamma	253	0.028210	109.657	68
gamma	254	0.028730	111.618	36
gamma	255	0.029115	113.069	41
gamma	256	0.029675	115.178	71
gamma	257	0.030175	117.058	29
gamma	258	0.030525	118.373	41
gamma	259	0.031030	120.269	60
gamma	260	0.031710	122.818	76
gamma	261	0.032370	125.289	56
gamma	262	0.032975	127.551	65
gamma	263	0.033740	130.406	88
gamma	264	0.034530	133.351	70
gamma	265	0.035135	135.602	51
gamma	266	0.035730	137.813	68
gamma	267	0.036420	140.374	70
gamma	268	0.037100	142.894	66
gamma	269	0.038090	146.557	132
gamma	270	0.039220	150.727	94
gamma	271	0.040245	154.501	111
gamma	272	0.041300	158.377	100
gamma	273	0.042195	161.658	79
gamma	274	0.042870	164.129	56
gamma	275	0.043465	166.303	63
gamma	276	0.044045	168.420	53
gamma	277	0.044460	169.933	30
gamma	278	0.045080	172.191	94
gamma	279	0.046150	176.081	120
gamma	280	0.047385	180.559	127
gamma	281	0.048485	184.537	93
gamma	282	0.049450	188.019	100
gamma	283	0.050660	192.374	142
gamma	284	0.051940	196.969	114
gamma	285	0.053145	201.282	127
gamma	286	0.054245	205.210	93
gamma	287	0.055210	208.647	100
gamma	288	0.056115	211.864	81
gamma	289	0.056960	214.862	88
gamma	290	0.058085	218.845	137
gamma	291	0.059440	223.628	134
gamma	292	0.060900	228.765	158
gamma	293	0.062150	233.150	92
gamma	294	0.062990	236.089	76
gamma	295	0.064290	240.627	184
gamma	296	0.066195	247.253	197
gamma	297	0.067630	252.225	90
gamma	298	0.068970	256.853	178
gamma	299	0.070680	262.737	164
gamma	300	0.072435	268.753	187
gamma	301	0.074170	274.675	160
gamma	302	0.076210	281.608	248
gamma	303	0.078000	287.664	110
gamma	304	0.079070	291.272	104
gamma	305	0.079885	294.014	59
gamma	306	0.081195	298.409	203
gamma	307	0.082615	303.159	81
gamma	308	0.083895	307.427	175
gamma	309	0.085150	311.598	76
gamma	310	0.085960	314.284	86
gamma	311	0.086950	317.559	112
gamma	312	0.088110	321.387	120
gamma	313	0.089425	325.713	143
gamma	314	0.090765	330.107	125
gamma	315	0.092190	334.764	160
gamma	316	0.093835	340.120	169
gamma	317	0.096155	347.637	295
gamma	318	0.098245	354.372	123
gamma	319	0.099685	358.992	165
gamma	320	0.101285	364.105	155
gamma	321	0.103020	369.628	192
gamma	322	0.104945	375.726	193
gamma	323	0.106825	381.654	183
gamma	324	0.108620	387.287	176
gamma	325	0.110305	392.551	161
gamma	326	0.111945	397.653	167
gamma	327	0.114180	404.572	280
gamma	328	0.117035	413.351	291
gamma	329	0.120040	422.522	310
gamma	330	0.122370	429.582	156
gamma	331	0.124660	436.480	302
gamma	332	0.126970	443.394	160
gamma	333	0.129265	450.222	299
gamma	334	0.132000	458.304	248
gamma	335	0.134755	466.384	303
gamma	336	0.137850	475.390	316
gamma	337	0.140450	482.895	204
gamma	338	0.142815	489.676	269
gamma	339	0.145670	497.801	302
gamma	340	0.148490	505.763	262
gamma	341	0.151140	513.187	268
gamma	342	0.153690	520.278	242
gamma	343	0.156035	526.752	227
gamma	344	0.158395	533.224	245
gamma	345	0.160820	539.828	240
gamma	346	0.164315	549.262	459
gamma	347	0.167955	558.984	269
gamma	348	0.170540	565.824	248
gamma	349	0.173470	573.513	338
gamma	350	0.177280	583.407	424
gamma	351	0.181775	594.931	475
gamma	352	0.186140	605.968	398
gamma	353	0.189525	614.421	279
gamma	354	0.192050	620.667	226
gamma	355	0.194455	626.569	255
gamma	356	0.197145	633.115	283
gamma	357	0.200010	640.024	290
gamma	358	0.203790	649.039	466
gamma	359	0.206990	656.581	174
gamma	360	0.209405	662.218	309
gamma	361	0.211785	667.728	167
gamma	362	0.213875	672.530	251
gamma	363	0.216885	679.384	351
gamma	364	0.220765	688.111	425
gamma	365	0.225330	698.226	488
gamma	366	0.229730	707.817	392
gamma	367	0.233325	715.538	327
gamma	368	0.236435	722.134	295
gamma	369	0.239940	729.475	406
gamma	370	0.243795	737.436	365
gamma	371	0.247920	745.823	460
gamma	372	0.251540	753.071	264
gamma	373	0.253675	757.296	163
gamma	374	0.255735	761.338	249
gamma	375	0.258755	767.203	355
gamma	376	0.262070	773.557	308
gamma	377	0.264510	778.178	180
gamma	378	0.266380	781.687	194
gamma	379	0.268470	785.575	224
gamma	380	0.271220	790.639	326
gamma	381	0.274860	797.248	402
gamma	382	0.278665	804.043	359
gamma	383	0.282545	810.853	417
gamma	384	0.286480	817.637	370
gamma	385	0.290095	823.760	353
gamma	386	0.293505	829.439	329
gamma	387	0.296670	834.628	304
gamma	388	0.300135	840.216	389
gamma	389	0.304450	847.041	474
gamma	390	0.308940	853.984	424
gamma	391	0.312895	859.967	367
gamma	392	0.318185	867.773	691
gamma	393	0.323165	874.918	305
gamma	394	0.326515	879.612	365
gamma	395	0.329880	884.237	308
gamma	396	0.333615	889.264	439
gamma	397	0.337945	894.953	427
gamma	398	0.342210	900.409	426
gamma	399	0.346235	905.425	379
gamma	400	0.350855	911.023	545
gamma	401	0.355525	916.508	389
gamma	402	0.359475	921.011	401
gamma	403	0.363655	925.640	435
gamma	404	0.367835	930.130	401
gamma	405	0.372095	934.561	451
gamma	406	0.376550	939.040	440
gamma	407	0.380750	943.118	400
gamma	408	0.385625	947.673	575
gamma	409	0.391635	953.028	627
gamma	410	0.396535	957.180	353
gamma	411	0.400605	960.483	461
gamma	412	0.405375	964.184	493
gamma	413	0.410050	967.636	442
gamma	414	0.414175	970.536	383
gamma	415	0.417580	972.828	298
gamma	416	0.421355	975.260	457
gamma	417	0.426480	978.379	568
gamma	418	0.433145	982.122	765
gamma	419	0.439665	985.439	539
gamma	420	0.444750	987.790	478
gamma	421	0.450300	990.120	632
gamma	422	0.454860	991.850	280
gamma	423	0.460800	993.853	908
gamma	424	0.467445	995.761	421
gamma	425	0.472185	996.905	527
gamma	426	0.477140	997.910	464
gamma	427	0.483060	998.852	720
gamma	428	0.488545	999.475	377
gamma	429	0.492510	999.776	416
gamma	430	0.496680	999.956	418
gamma	431	0.500640	999.998	374
gamma	432	0.504380	999.923	374
gamma	433	0.510260	999.579	802
gamma	434	0.516395	998.925	425
gamma	435	0.521155	998.210	527
gamma	436	0.526395	997.213	521
gamma	437	0.531420	996.051	484
gamma	438	0.535890	994.848	410
gamma	439	0.539990	993.603	410
gamma	440	0.544345	992.134	461
gamma	441	0.549190	990.321	508
gamma	442	0.556110	987.407	876
gamma	443	0.564185	983.521	739
gamma	444	0.570740	979.983	572
gamma	445	0.575380	977.271	356
gamma	446	0.578880	975.112	344
gamma	447	0.582070	973.058	294
gamma	448	0.586610	969.995	614
gamma	449	0.591370	966.606	338
gamma	450	0.595055	963.858	399
gamma	451	0.599220	960.622	434
gamma	452	0.603375	957.254	397
gamma	453	0.608610	952.815	650
gamma	454	0.614435	947.619	515
gamma	455	0.618220	944.096	242
gamma	456	0.621985	940.479	511
gamma	457	0.627845	934.623	661
gamma	458	0.633400	928.818	450
gamma	459	0.638245	923.553	519
gamma	460	0.643650	917.459	562
gamma	461	0.649210	910.946	550
gamma	462	0.654940	903.974	596
gamma	463	0.660580	896.856	532
gamma	464	0.665595	890.313	471
gamma	465	0.669820	884.645	374
gamma	466	0.673160	880.062	294
gamma	467	0.677635	873.783	601
gamma	468	0.682330	867.023	338
gamma	469	0.687420	859.495	680
gamma	470	0.692300	852.083	296
gamma	471	0.697375	844.172	719
gamma	472	0.702105	836.614	227
gamma	473	0.706225	829.885	597
gamma	474	0.710400	822.927	238
gamma	475	0.712840	818.797	250
gamma	476	0.716700	812.164	522
gamma	477	0.721240	804.211	386
gamma	478	0.725525	796.554	471
gamma	479	0.730610	787.276	546
gamma	480	0.734815	779.448	295
gamma	481	0.737750	773.900	292
gamma	482	0.740875	767.917	333
gamma	483	0.744270	761.329	346
gamma	484	0.749100	751.797	620
gamma	485	0.753815	742.312	323
gamma	486	0.757415	734.950	397
gamma	487	0.761275	726.941	375
gamma	488	0.764720	719.693	314
gamma	489	0.768625	711.362	467
gamma	490	0.773535	700.714	515
gamma	491	0.778660	689.394	510
gamma	492	0.782640	680.459	286
gamma	493	0.785810	673.251	348
gamma	494	0.789210	665.430	332
gamma	495	0.792440	657.915	314
gamma	496	0.796265	648.908	451
gamma	497	0.800780	638.126	452
gamma	498	0.805215	627.375	435
gamma	499	0.808770	618.644	276
gamma	500	0.811550	611.746	280
gamma	501	0.814710	603.830	352
gamma	502	0.817350	597.156	176
gamma	503	0.820015	590.362	357
gamma	504	0.822695	583.472	179
gamma	505	0.825170	577.058	316
gamma	506	0.827615	570.674	173
gamma	507	0.829395	565.996	183
gamma	508	0.831305	560.948	199
gamma	509	0.833480	555.164	236
gamma	510	0.835795	548.967	227
gamma	511	0.838255	542.334	265
gamma	512	0.840840	535.312	252
gamma	513	0.843555	527.880	291
gamma	514	0.846765	519.016	351
gamma	515	0.850245	509.314	345
gamma	516	0.853220	500.943	250
gamma	517	0.855940	493.227	294
gamma	518	0.858000	487.344	118
gamma	519	0.859510	483.010	184
gamma	520	0.861520	477.213	218
gamma	521	0.863925	470.234	263
gamma	522	0.866495	462.726	251
gamma	523	0.868765	456.049	203
gamma	524	0.870630	450.534	170
gamma	525	0.872205	445.854	145
gamma	526	0.873730	441.304	160
gamma	527	0.875275	436.675	149
gamma	528	0.877115	431.137	219
gamma	529	0.879210	424.799	200
gamma	530	0.881265	418.548	211
gamma	531	0.883515	411.665	239
gamma	532	0.885730	404.849	204
gamma	533	0.887900	398.134	230
gamma	534	0.890375	390.429	265
gamma	535	0.893165	381.685	293
gamma	536	0.895795	373.385	233
gamma	537	0.898255	365.572	259
gamma	538	0.900540	358.271	198
gamma	539	0.902285	352.667	151
gamma	540	0.904240	346.360	240
gamma	541	0.906310	339.649	174
gamma	542	0.907795	334.813	123
gamma	543	0.909250	330.058	168
gamma	544	0.911025	324.234	187
gamma	545	0.912790	318.418	166
gamma	546	0.914605	312.411	197
gamma	547	0.916390	306.477	160
gamma	548	0.918015	301.054	165
gamma	549	0.920145	293.913	261
gamma	550	0.922050	287.495	120
gamma	551	0.923140	283.810	98
gamma	552	0.924070	280.659	88
gamma	553	0.924910	277.806	80
gamma	554	0.925895	274.454	117
gamma	555	0.927095	270.359	123
gamma	556	0.928300	266.236	118
gamma	557	0.929610	261.741	144
gamma	558	0.931080	256.680	150
gamma	559	0.932600	251.429	154
gamma	560	0.934005	246.559	127
gamma	561	0.935280	242.125	128
gamma	562	0.936375	238.307	91
gamma	563	0.937355	234.882	105
gamma	564	0.938190	231.958	62
gamma	565	0.938830	229.713	66
gamma	566	0.939660	226.796	100
gamma	567	0.940705	223.116	109
gamma	568	0.941805	219.233	111
gamma	569	0.942775	215.801	83
gamma	570	0.943680	212.592	98
gamma	571	0.944695	208.985	105
gamma	572	0.945815	204.996	119
gamma	573	0.946865	201.247	91
gamma	574	0.947680	198.330	72
gamma	575	0.948970	193.704	186
gamma	576	0.950585	187.893	137
gamma	577	0.951585	184.284	63
gamma	578	0.952590	180.649	138
gamma	579	0.954095	175.191	163
gamma	580	0.955465	170.207	111
gamma	581	0.956515	166.376	99
gamma	582	0.957410	163.104	80
gamma	583	0.958115	160.523	61
gamma	584	0.958950	157.460	106
gamma	585	0.959755	154.501	55
gamma	586	0.960295	152.514	53
gamma	587	0.960770	150.764	42
gamma	588	0.961175	149.270	39
gamma	589	0.961665	147.462	59
gamma	590	0.962485	144.430	105
gamma	591	0.963190	141.820	36
gamma	592	0.963665	140.059	59
gamma	593	0.964205	138.055	49
gamma	594	0.964845	135.677	79
gamma	595	0.965790	132.159	110
gamma	596	0.966585	129.194	49
gamma	597	0.966960	127.793	26
gamma	598	0.967225	126.803	27
gamma	599	0.967665	125.158	61
gamma	600	0.968175	123.249	41
gamma	601	0.968600	121.656	44
gamma	602	0.969130	119.668	62
gamma	603	0.969770	117.265	66
gamma	604	0.970415	114.839	63
gamma	605	0.971050	112.448	64
gamma	606	0.971765	109.751	79
gamma	607	0.972555	106.767	79
gamma	608	0.973195	104.346	49
gamma	609	0.973755	102.225	63
gamma	610	0.974485	99.456	83
gamma	611	0.975180	96.816	56
gamma	612	0.975645	95.047	37
gamma	613	0.976230	92.820	80
gamma	614	0.976890	90.304	52
gamma	615	0.977295	88.758	29
gamma	616	0.977590	87.631	30
gamma	617	0.977920	86.370	36
gamma	618	0.978245	85.127	29
gamma	619	0.978570	83.883	36
gamma	620	0.979015	82.179	53
gamma	621	0.979500	80.319	44
gamma	622	0.979960	78.554	48
gamma	623	0.980330	77.132	26
gamma	624	0.980545	76.306	17
gamma	625	0.980780	75.402	30
gamma	626	0.981005	74.537	15
gamma	627	0.981175	73.882	19
gamma	628	0.981435	72.881	33
gamma	629	0.981810	71.436	42
gamma	630	0.982190	69.971	34
gamma	631	0.982530	68.659	34
gamma	632	0.982885	67.288	37
gamma	633	0.983200	66.071	26
gamma	634	0.983460	65.066	26
gamma	635	0.983860	63.518	54
gamma	636	0.984270	61.930	28
gamma	637	0.984555	60.826	29
gamma	638	0.984815	59.818	23
gamma	639	0.985155	58.499	45
gamma	640	0.985495	57.178	23
gamma	641	0.985775	56.091	33
gamma	642	0.986080	54.905	28
gamma	643	0.986325	53.952	21
gamma	644	0.986565	53.018	27
gamma	645	0.986820	52.025	24
gamma	646	0.987060	51.090	24
gamma	647	0.987380	49.843	40
gamma	648	0.987690	48.634	22
gamma	649	0.987860	47.970	12
gamma	650	0.988115	46.975	39
gamma	651	0.988515	45.412	41
gamma	652	0.988880	43.985	32
gamma	653	0.989095	43.144	11
gamma	654	0.989285	42.401	27
gamma	655	0.989525	41.461	21
gamma	656	0.989710	40.736	16
gamma	657	0.989865	40.129	15
gamma	658	0.990045	39.424	21
gamma	659	0.990230	38.698	16
gamma	660	0.990395	38.051	17
gamma	661	0.990570	37.364	18
gamma	662	0.990780	36.540	24
gamma	663	0.991020	35.597	24
gamma	664	0.991220	34.812	16
gamma	665	0.991370	34.222	14
gamma	666	0.991520	33.632	16
gamma	667	0.991705	32.905	21
gamma	668	0.991890	32.177	16
gamma	669	0.992055	31.528	17
gamma	670	0.992210	30.917	14
gamma	671	0.992360	30.327	16
gamma	672	0.992540	29.617	20
gamma	673	0.992705	28.967	13
gamma	674	0.992815	28.534	9
gamma	675	0.992895	28.218	7
gamma	676	0.993000	27.804	14
gamma	677	0.993150	27.212	16
gamma	678	0.993265	26.759	7
gamma	679	0.993340	26.463	8
gamma	680	0.993430	26.107	10
gamma	681	0.993560	25.594	16
gamma	682	0.993715	24.982	15
gamma	683	0.993825	24.547	7
gamma	684	0.993945	24.073	17
gamma	685	0.994045	23.678	3
gamma	686	0.994125	23.362	13
gamma	687	0.994225	22.967	7
gamma	688	0.994340	22.512	16
gamma	689	0.994470	21.998	10
gamma	690	0.994545	21.701	5
gamma	691	0.994615	21.424	9
gamma	692	0.994695	21.107	7
gamma	693	0.994775	20.791	9
gamma	694	0.994915	20.237	19
gamma	695	0.995065	19.643	11
gamma	696	0.995180	19.187	12
gamma	697	0.995300	18.712	12
gamma	698	0.995385	18.375	5
gamma	699	0.995465	18.058	11
gamma	700	0.995550	17.721	6
gamma	701	0.995625	17.423	9
gamma	702	0.995690	17.166	4
gamma	703	0.995735	16.987	5
gamma	704	0.995815	16.670	11
gamma	705	0.995920	16.253	10
gamma	706	0.996020	15.857	10
gamma	707	0.996105	15.519	7
gamma	708	0.996165	15.281	5
gamma	709	0.996225	15.043	7
gamma	710	0.996300	14.745	8
gamma	711	0.996375	14.447	7
gamma	712	0.996440	14.189	6
gamma	713	0.996535	13.812	13
gamma	714	0.996645	13.375	9
gamma	715	0.996720	13.077	6
gamma	716	0.996800	12.759	10
gamma	717	0.996875	12.461	5
gamma	718	0.996935	12.222	7
gamma	719	0.997010	11.924	8
gamma	720	0.997060	11.725	2
gamma	721	0.997110	11.527	8
gamma	722	0.997180	11.248	6
gamma	723	0.997240	11.010	6
gamma	724	0.997315	10.711	9
gamma	725	0.997395	10.393	7
gamma	726	0.997470	10.094	8
gamma	727	0.997550	9.776	8
gamma	728	0.997620	9.497	6
gamma	729	0.997675	9.278	5
gamma	730	0.997730	9.059	6
gamma	731	0.997775	8.880	3
gamma	732	0.997820	8.701	6
gamma	733	0.997870	8.502	4
gamma	734	0.997905	8.362	3
gamma	735	0.997940	8.223	4
gamma	736	0.997985	8.044	5
gamma	737	0.998035	7.845	5
gamma	738	0.998075	7.685	3
gamma	739	0.998110	7.546	4
gamma	740	0.998145	7.406	3
gamma	741	0.998170	7.307	2
gamma	742	0.998195	7.207	3
gamma	743	0.998230	7.067	4
gamma	744	0.998270	6.908	4
gamma	745	0.998295	6.808	1
gamma	746	0.998325	6.689	5
gamma	747	0.998380	6.470	6
gamma	748	0.998425	6.290	3
gamma	749	0.998455	6.170	3
gamma	750	0.998495	6.011	5
gamma	751	0.998530	5.871	2
gamma	752	0.998555	5.772	3
gamma	753	0.998580	5.672	2
gamma	754	0.998610	5.552	4
gamma	755	0.998655	5.373	5
